name,designation,company,address,city,phone,fax,email,website,product,state,credit rating,rating agency,report year,annual revenue (cr),net profit (cr),debt-to-equity ratio,ebitda margin (%),production capacity (mt),source url,about,cin,listed on stock exchange,company status,roc,registration number,company category,company sub category,class of company,date of incorporation,age of company,NIC Code,NIC Description,number of members,zauba url,active_nclt_cases,nclt_status
FERRO ALLOYS CORPORATION LIMITED,CEO,Ferro Alloys Corporation Limited,"GD-2/10, Chandrasekharpur, Dist. Khurda, Bhubaneswar 751023, Odisha",Odisha,+91 8953004025,,Pankajkumar.sharma@vedanta.co.in,http://www.facorgroup.in,Ferro Chrome Charge Chrome,Odisha,CRISIL AA-,CRISIL,2024,809,Data Not Found,0.1,14.2,140000,https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/FerroAlloysCorporationLimited_June%2020_%202024_RR_346247.html; https://www.icra.in/Rating/GetRationalReportFilePdf?id=110938; https://www.careratings.com/upload/CompanyFiles/PR/24082022061212_M._M._Ceramics_and_Ferro_Alloys.pdf,"FERRO ALLOYS CORPORATION LIMITED(CIN: U45201OR1955PLC008400) is a Public company incorporated on 27 Dec 1955. It is classified as Non-government company and is registered at Registrar of Companies, Cuttack. Its authorized share capital is Rs. 4800000000.00 and its paid up capital is Rs. 340000000.00.FERRO ALLOYS CORPORATION LIMITED's Annual General Meeting (AGM) was last held on 30 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.FERRO ALLOYS CORPORATION LIMITED's NIC code is 4520 (which is part of its CIN). As per the NIC code, it is inolved in Building of complete constructions or parts thereof; civil engineering.Directors of FERRO ALLOYS CORPORATION LIMITED are NARAYANASWAMY ALAMPALLAM RAMAKRISHNAN, AKHILESH  JOSHI, KARAN KUMAR KEJRIWAL, AGNIVESH  AGARWAL, SAMBIT KUMAR SARANGI, PANKAJ KUMAR SHARMA, PALLAVI JOSHI BAKHRU, ARUN  MISRA, and PANKAJ KUMAR SHARMA.FERRO ALLOYS CORPORATION LIMITED's Corporate Identification Number (CIN) is U45201OR1955PLC008400 and its registration number is 8400. Users may contact FERRO ALLOYS CORPORATION LIMITED on its Email address - sambit.sarangi@vedanta.co.in. Registered address of FERRO ALLOYS CORPORATION LIMITED is D P NAGAR RANDIA BHADRAK   , ORISSA, Orissa, India - 756135.Current status of FERRO ALLOYS CORPORATION LIMITED is - Active.",U45201OR1955PLC008400,Unlisted,Active,Cuttack,8400,Company limited by shares,Non-government company,Public,27-09-1955,"69 years, 5 months, 16 days",4520,Building of complete constructions or parts thereof; civil engineering,Data not available,https://www.zaubacorp.com/company/FERRO-ALLOYS-CORPORATION-LIMITED/U45201OR1955PLC008400,1,Active
TATA STEEL LIMITED,Chief  Marketing & Sales - FAMD,Tata Steel Limited,"Tata Centre, 43, Jawaharlal Nehru Road Kolkata 700 071",Kolkata,033-22884861,033-22884861,santony@tatasteel.com,http://www.tatasteel.com,Ferro Manganese Silico Manganese Ferro Chrome,West Bengal,CARE AA+,CARE,2025,Data Not Found,Data Not Found,Data Not Found,Data Not Found,5,https://www.careratings.com/upload/CompanyFiles/PR/202506120617_Tata_Steel_Limited.pdf; https://www.icra.in/Rating/GetRationalReportFilePdf?id=136106; https://www.indiaratings.co.in/rating-details/2/75035,"TATA STEEL LIMITED(CIN: L27100MH1907PLC000260) is a Public company incorporated on 26 Dec 1907. It is classified as Non-government company and is registered at Registrar of Companies, Mumbai. Its authorized share capital is Rs. 312250000000.00 and its paid up capital is Rs. 12483531541.00.TATA STEEL LIMITED's Annual General Meeting (AGM) was last held on 05 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.TATA STEEL LIMITED's NIC code is 271 (which is part of its CIN). As per the NIC code, it is inolved in Manufacture of Basic Iron & Steel.Directors of TATA STEEL LIMITED are SHEKHAR CHINTAMANI MANDE, FARIDA  KHAMBATA, BHARTI GUPTA RAMOLA, VIJAY KUMAR SHARMA, DEEPAK  KAPOOR, PARVATHEESAM  KANCHINADHAM, KOUSHIK  CHATTERJEE, KOUSHIK  CHATTERJEE, NOEL NAVAL TATA, NARENDRAN VISWANATH THACHAT, CHANDRASEKARAN  NATARAJAN, and SAURABH MAHESH AGRAWAL.TATA STEEL LIMITED's Corporate Identification Number (CIN) is L27100MH1907PLC000260 and its registration number is 260. Users may contact TATA STEEL LIMITED on its Email address - cosec@tatasteel.com. Registered address of TATA STEEL LIMITED is BOMBAY HOUSE, 24-HOMI MODY STREET, FORT,   , MUMBAI, Maharashtra, India - 400001.Current status of TATA STEEL LIMITED is - Active.",L27100MH1907PLC000260,Listed,Active,Mumbai,260,Company limited by shares,Non-government company,Public,26-08-1907,"117 years, 6 months, 17 days",271,Manufacture of Basic Iron & Steel,Data not available,https://www.zaubacorp.com/company/TATA-STEEL-LIMITED/L27100MH1907PLC000260,3,Active
ABHIJEET FERROTECH LIMITED,Chairman & Managing Director,Abhijeet Ferrotech Limited,"No.50 & 51, A.P.S.E.Z, P.O. Atchutapuram, Vishakapatnam 531011, Andhra Pradesh",Atchutapuram,,033-30577400,,http://www.abhijeet.in,Ferro Manganese Silico Manganese,Andhra Pradesh,IND D(suspended),India,2016,Data Not Found,Data Not Found,Data Not Found,Data Not Found,Data Not Found,https://www.indiaratings.co.in/PressRelease?pressReleaseID=23507; https://www.careratings.com/search?Id=oxvolCYOltn6nNUiQJZH3g==,"ABHIJEET FERROTECH LIMITED(CIN: U52322WB1996PLC076509) is a Public company incorporated on 10 Dec 1996. It is classified as Non-government company and is registered at Registrar of Companies, Kolkata. Its authorized share capital is Rs. 850000000.00 and its paid up capital is Rs. 454481250.00.ABHIJEET FERROTECH LIMITED's Annual General Meeting (AGM) was last held on 28 Dec 2017. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2017-03-31.ABHIJEET FERROTECH LIMITED's NIC code is 5232 (which is part of its CIN). As per the NIC code, it is inolved in Retail sale of textiles, clothing, footwear and leather goods [including travel accessories].Directors of ABHIJEET FERROTECH LIMITED are ROHIT ASHOK JAISWAL, MANOJ KUMAR JAYASWAL, and RAJESH  JAYASWAL.ABHIJEET FERROTECH LIMITED's Corporate Identification Number (CIN) is U52322WB1996PLC076509 and its registration number is 76509. Users may contact ABHIJEET FERROTECH LIMITED on its Email address - mcainfo@abhijeet.in. Registered address of ABHIJEET FERROTECH LIMITED is FE-83, SECTOR - III SALT LAKE CITY, GROUND FLOOR   , KOLKATA, West Bengal, India - 700106.Current status of ABHIJEET FERROTECH LIMITED is - Active.",U52322WB1996PLC076509,Unlisted,Active,Kolkata,76509,Company limited by shares,Non-government company,Public,10-01-1996,"29 years, 2 months, 3 days",5232,Retail sale of textiles  clothing  footwear and leather goods [including travel accessories],Data not available,https://www.zaubacorp.com/ABHIJEET-FERROTECH-LIMITED-U52322WB1996PLC076509,2,Active
BALASORE ALLOYS LIMITED,Managing Director,Balasore Alloys Limited,"Park Plaza, 71, Park Street Kolkata 700 016.",Kolkata,033-4029 7000,033-2229 5693,arun.jain@balasorealloys.com,http://www.balasorealloys.com,Ferro Chrome Charge Chrome,West Bengal,CARE D,CARE ,2024,1122.9,-9.27,1.11,Data Not Found,145000,https://www.careratings.com/upload/CompanyFiles/PR/202410121002_Balasore_Alloys_Limited.pdf,"BALASORE ALLOYS LIMITED(CIN: L27101OR1984PLC001354) is a Public company incorporated on 31 Dec 1984. It is classified as Non-government company and is registered at Registrar of Companies, Cuttack. Its authorized share capital is Rs. 1000000000.00 and its paid up capital is Rs. 466627000.00.BALASORE ALLOYS LIMITED's Annual General Meeting (AGM) was last held on 31 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.BALASORE ALLOYS LIMITED's NIC code is 271 (which is part of its CIN). As per the NIC code, it is inolved in Manufacture of Basic Iron & Steel.Directors of BALASORE ALLOYS LIMITED are RAMEN  RAY MANDAL, SHWETA  JAIN, CHIKALI  NAGARAJU, PANKAJ KUMAR AGARWAL, RAJIB  DAS, SHIV KUMAR DABRIWALA, PRAVAKAR  MOHANTY, PARAMESH  BHATTACHARYA, and DEBASISH  GANGULY.BALASORE ALLOYS LIMITED's Corporate Identification Number (CIN) is L27101OR1984PLC001354 and its registration number is 1354. Users may contact BALASORE ALLOYS LIMITED on its Email address - investorshelpline@balasorealloys.com. Registered address of BALASORE ALLOYS LIMITED is BALGOPALPUR BALASORE   , BALASORE, Orissa, India - 756020.Current status of BALASORE ALLOYS LIMITED is - Active.",L27101OR1984PLC001354,Listed,Active,Cuttack,1354,Company limited by shares,Non-government company,Public,31-05-1984,"40 years, 9 months, 12 days",271,Manufacture of Basic Iron & Steel,Data not available,https://www.zaubacorp.com/company/BALASORE-ALLOYS-LIMITED/L27101OR1984PLC001354,3,Active
BERRY ALLOYS LIMITED,Managing Director,Berry Alloys Limited,"Plot No.368, APIIDC Growth Centre, Bobbilli, Dist. Vijayanagaram, Andhra Pradesh",Vijayanagaram,"08944-247001/2/3, 0891 2514800",0891 2514900,"vijay@berryalloys.in,ea.md@berryalloys.in,exports@berryalloys.in",http://www.berryalloys.in,"Ferro Manganese, Silico Manganese",Andhra Pradesh,CRISIL BB+/Stable,CRISIL,2022,527.43,39.92,0.07,Data Not Found,Data Not Found,"https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/BerryAlloysLimited_June%2023,%202022_RR_296532.html; https://www.icra.in/Rating/ShowRationalReportFilePdf/134434","BERRY ALLOYS LIMITED(CIN: U27310WB2006PLC145016) is a Public company incorporated on 29 Dec 2006. It is classified as Non-government company and is registered at Registrar of Companies, Kolkata. Its authorized share capital is Rs. 100000000.00 and its paid up capital is Rs. 92825640.00.BERRY ALLOYS LIMITED's Annual General Meeting (AGM) was last held on 30 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.BERRY ALLOYS LIMITED's NIC code is 2731 (which is part of its CIN). As per the NIC code, it is inolved in Casting of iron and steel.Directors of BERRY ALLOYS LIMITED are DALJEET  KAUR, JAYBINDRA  THAKUR, SUBHOMOY  DAS, VIJAY  GUPTA, and NAVNEET  AGRAWAL.BERRY ALLOYS LIMITED's Corporate Identification Number (CIN) is U27310WB2006PLC145016 and its registration number is 145016. Users may contact BERRY ALLOYS LIMITED on its Email address - cs@berryalloys.in. Registered address of BERRY ALLOYS LIMITED is FLAT NO. 5 B, 5th FLOOR 21 A, SHAKESPEARE SARANI   , KOLKATA, West Bengal, India - 700017.Current status of BERRY ALLOYS LIMITED is - Active.",U27310WB2006PLC145016,Unlisted,Active,Kolkata,145016,Company limited by shares,Non-government company,Public,29-09-2006,"18 years, 5 months, 14 days",2731,Casting of iron and steel,Data not available,https://www.zaubacorp.com/company/BERRY-ALLOYS-LIMITED/U27310WB2006PLC145016,0,No Active Cases
BIHAR FOUNDRY & CASTINGS LIMITED,Director,Bihar Foundry And Castings Limited,"Survey Plot No.1405, Industrial Area Road, Marar, Ramgarh, Jharkhand 829117",Jharkhand ,0651-2202699,0651-2202799,,,"Silico Manganese, Ferro Manganese",Jharkhand,CRISIL D,CRISIL,2017,346.09,-4.41,2.14,Data Not Found,Data Not Found,https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/Bihar_Foundry_and_Castings_Limited_November_27_2017_RR.html,"BIHAR FOUNDRY & CASTINGS LIMITED(CIN: U27100JH1971PLC000912) is a Public company incorporated on 11 Dec 1971. It is classified as Non-government company and is registered at Registrar of Companies, Jharkhand. Its authorized share capital is Rs. 99900000.00 and its paid up capital is Rs. 90975000.00.BIHAR FOUNDRY & CASTINGS LIMITED's Annual General Meeting (AGM) was last held on 30 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.BIHAR FOUNDRY & CASTINGS LIMITED's NIC code is 271 (which is part of its CIN). As per the NIC code, it is inolved in Manufacture of Basic Iron & Steel.Directors of BIHAR FOUNDRY & CASTINGS LIMITED are HARI KRISHNA BUDHIA, ANUJ  KUMAR, GAURAV  BUDHIA, VANIKA  LATH, HARI BABU SHUKLA, and GAURAV  BUDHIA.BIHAR FOUNDRY & CASTINGS LIMITED's Corporate Identification Number (CIN) is U27100JH1971PLC000912 and its registration number is 912. Users may contact BIHAR FOUNDRY & CASTINGS LIMITED on its Email address - bfclgfa@gmail.com. Registered address of BIHAR FOUNDRY & CASTINGS LIMITED is MAIN ROAD,   , RANCHI, Jharkhand, India - 834001.Current status of BIHAR FOUNDRY & CASTINGS LIMITED is - Active.",U27100JH1971PLC000912,Unlisted,Active,Jharkhand,912,Company limited by shares,Non-government company,Public,11-11-1971,"53 years, 4 months, 2 days",271,Manufacture of Basic Iron & Steel,Data not available,https://www.zaubacorp.com/company/BIHAR-FOUNDRY-CASTINGS-LIMITED/U27100JH1971PLC000912,0,No Active Cases
Mr. Sanjay Kumar Gajbhiye,Executive Director,Chandrapur Ferro Alloy Plant Limited,"Steel Authority of India Ltd,  Mul Road, Chandrapur 442401, Maharashtra",Chandrapur,"0788 278000/01/,9407980290",,"skgajbhiye1@sail.in,ed.sailcfp@sail.in",https://www.sail.co.in/,"Silico Manganese, Ferro Manganese.",Maharashtra,CRISIL B-,CRISIL,2022,49.49,5.6,0.37,Data Not Found,Data Not Found,"https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/TimesFerroAlloysPrivateLimited_April%2028,%202022_RR_291558.html; https://www.icra.in/Rating/GetRationalReportFilePdf?Id=129764; https://www.careratings.com/upload/CompanyFiles/PR/202304140406_Chemicals_and_Ferro_Alloys_Private_Limited.pdf",,,,,,,,,,,,,,Data not available,,0,No Active Cases
FACOR ALLOYS LIMITED,Executive Director,Facor Alloys Limited,Shreeramnagar - 535 101 Dist. Vizianagaram AP.,Vizianagaram,9764611777,,ashishrvr@gmail.com,http://www.falgroup.in/,HC Ferro Chrome,Andhra Pradesh,CRISIL AA,CRISIL,2023,563,-50.29,Data Not Found,20,75,"https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/FerroAlloysCorporationLimited_March%2028,%202023_RR_314669.html; https://www.icra.in/Rating/GetRationalReportFilePdf?id=110938; https://www.careratings.com/upload/CompanyFiles/PR/202309150914_Facor_Power_Limited.pdf","FACOR ALLOYS LIMITED(CIN: L27101AP2004PLC043252) is a Public company incorporated on 14 Dec 2004. It is classified as Non-government company and is registered at Registrar of Companies, Vijayawada. Its authorized share capital is Rs. 750000000.00 and its paid up capital is Rs. 195547355.00.FACOR ALLOYS LIMITED's Annual General Meeting (AGM) was last held on 28 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.FACOR ALLOYS LIMITED's NIC code is 271 (which is part of its CIN). As per the NIC code, it is inolved in Manufacture of Basic Iron & Steel.Directors of FACOR ALLOYS LIMITED are MANOJKUMAR UMASHANKAR SARAF, PIYUSH  AGARWAL, MAHENDRA BHAWANJI THAKER, ASHISH SANTOSH AGRAWAL, ANAND SADASHIV KAPRE, GAURAV VINOD SARAF, VIJAY  VASHISTH, URMILA  GUPTA, and MURLIDHAR DURGAPRASADJI SARAF.FACOR ALLOYS LIMITED's Corporate Identification Number (CIN) is L27101AP2004PLC043252 and its registration number is 43252. Users may contact FACOR ALLOYS LIMITED on its Email address - corpoffice@falgroup.in. Registered address of FACOR ALLOYS LIMITED is SHREERAMNAGAR P.O. GARIVIDI   , VIZIANAGARAM, Andhra Pradesh, India - 535101.Current status of FACOR ALLOYS LIMITED is - Active.",L27101AP2004PLC043252,Listed,Active,Vijayawada,43252,Company limited by shares,Non-government company,Public,14-05-2004,"20 years, 9 months, 29 days",271,Manufacture of Basic Iron & Steel,Data not available,https://www.zaubacorp.com/FACOR-ALLOYS-LIMITED-L27101AP2004PLC043252,0,No Active Cases
INDIAN METALS AND FERRO ALLOYS LTD.,Managing Director,Indian Metals And Ferro Alloys Limited,"Bomikhal, P.O. Rasulgarh Bhubaneswar 751 010.",Rasulgarh,0674-2580100 / 2580125,0674-2580020 / 2580145,"communication@imfa.in,dkmohanty@imfa.in,sgupta@imfa.in",http://www.imfa.in,Ferro Silicon Ferro Chrome Charge Chrome,Bhubaneswar,Data Not Found,Data Not Found,Data Not Found,Data Not Found,Data Not Found,Data Not Found,Data Not Found,Data Not Found,https://www.icra.in/Rating/GetRationalReportFilePdf?Id=129764,"INDIAN METALS AND FERRO ALLOYS LTD.(CIN: L27101OR1961PLC000428) is a Public company incorporated on 20 Dec 1961. It is classified as Non-government company and is registered at Registrar of Companies, Cuttack. Its authorized share capital is Rs. 635000000.00 and its paid up capital is Rs. 539541060.00.INDIAN METALS AND FERRO ALLOYS LTD.'s Annual General Meeting (AGM) was last held on 26 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.INDIAN METALS AND FERRO ALLOYS LTD.'s NIC code is 271 (which is part of its CIN). As per the NIC code, it is inolved in Manufacture of Basic Iron & Steel.Directors of INDIAN METALS AND FERRO ALLOYS LTD. are BIJOY KUMAR DAS, NALINI RANJAN MOHANTY, BARADA KANTA MISHRA, CHITTA RANJAN RAY, BAIJAYANT  PANDA, STEFAN GEORG AMREIN, SUBHRAKANT  PANDA, LATHA  RAVINDRAN, and PREM  KHANDELWAL.INDIAN METALS AND FERRO ALLOYS LTD.'s Corporate Identification Number (CIN) is L27101OR1961PLC000428 and its registration number is 428. Users may contact INDIAN METALS AND FERRO ALLOYS LTD. on its Email address - secretarial@imfa.in. Registered address of INDIAN METALS AND FERRO ALLOYS LTD. is IMFA BUILDING BOMIKHAL RASULGARH   , BHUBANESWAR, Orissa, India - 751010.Current status of INDIAN METALS AND FERRO ALLOYS LTD. is - Active.",L27101OR1961PLC000428,Listed,Active,Cuttack,428,Company limited by shares,Non-government company,Public,20-11-1961,"63 years, 3 months, 23 days",271,Manufacture of Basic Iron & Steel,Data not available,https://www.zaubacorp.com/company-update/INDIAN-METALS-AND-FERRO-ALLOYS-LTD/L27101OR1961PLC000428,0,No Active Cases
JAI BALAJI INDUSTRIES LIMITED,Director,Jai Balaji Group Limited,"5, Bentinck Street Kolkata 700 001.",Kolkata,033-22489808 / 8173,033-22430021 / 22426263,"pawan@jaibalajigroup.com,info@jaibalajiigroup.com",http://www.jaibalajigroup.com,Ferro Manganese Silico Manganese Ferro Silicon Ferro Chrome,West Bengal,CRISIL BBB-/Stable,CRISIL,2024,6125,57.83,1.55,14.57,3,"https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/JaiBalajiIndustriesLimited_January%2031,%202024_RR_335191.html; https://www.careratings.com/upload/CompanyFiles/PR/202308140829_Jai_Balaji_Jyoti_Steels_Limited.pdf","JAI BALAJI INDUSTRIES LIMITED(CIN: L27102WB1999PLC089755) is a Public company incorporated on 01 Dec 1999. It is classified as Non-government company and is registered at Registrar of Companies, Kolkata. Its authorized share capital is Rs. 1890000000.00 and its paid up capital is Rs. 1774502860.00.JAI BALAJI INDUSTRIES LIMITED's Annual General Meeting (AGM) was last held on 21 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.JAI BALAJI INDUSTRIES LIMITED's NIC code is 271 (which is part of its CIN). As per the NIC code, it is inolved in Manufacture of Basic Iron & Steel.Directors of JAI BALAJI INDUSTRIES LIMITED are SWATI  BAJAJ, GAURAV  JAJODIA, ADITYA  JAJODIA, SANJIV  JAJODIA, RAKHI  BAJORIA, SANJIV  JAJODIA, ASHIM KUMAR MUKHERJEE, AJAY KUMAR TANTIA, RAJIV  JAJODIA, BIMAL KUMAR CHOUDHARY, RAJ KUMAR SHARMA, SEEMA  CHOWDHURY, and MAMTA  JAIN.JAI BALAJI INDUSTRIES LIMITED's Corporate Identification Number (CIN) is L27102WB1999PLC089755 and its registration number is 89755. Users may contact JAI BALAJI INDUSTRIES LIMITED on its Email address - atantia@jaibalajigroup.com. Registered address of JAI BALAJI INDUSTRIES LIMITED is 5, BENTINCK STREET   , KOLKATA, West Bengal, India - 700001.Current status of JAI BALAJI INDUSTRIES LIMITED is - Active.",L27102WB1999PLC089755,Listed,Active,Kolkata,89755,Company limited by shares,Non-government company,Public,01-07-1999,"25 years, 8 months, 12 days",271,Manufacture of Basic Iron & Steel,Data not available,https://www.zaubacorp.com/company/JAI-BALAJI-INDUSTRIES-LIMITED/L27102WB1999PLC089755,1,Active
